Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,448
design__inferred_latch__count,0
design__instance__count,149909
design__instance__area,928198
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,3
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,58
design__max_cap_violation__count__corner:nom_tt_025C_1v80,19
power__internal__total,0.310102254152298
power__switching__total,0.5074768662452698
power__leakage__total,0.0000010368552239015116
power__total,0.8175801634788513
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.47370708696454916
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5011424750358019
timing__hold__ws__corner:nom_tt_025C_1v80,0.33071102348243886
timing__setup__ws__corner:nom_tt_025C_1v80,23.92448973315678
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.330711
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,41.420010
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,745
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,58
design__max_cap_violation__count__corner:nom_ss_100C_1v60,19
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.64924290004029
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6877103525746461
timing__hold__ws__corner:nom_ss_100C_1v60,0.8945102689526455
timing__setup__ws__corner:nom_ss_100C_1v60,-3.4292711863033114
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-215.07447098704048
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.4292711863033114
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.894510
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,218
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.898410
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,17
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,58
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,19
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.4031921299840272
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4236690840293414
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11793399923772085
timing__setup__ws__corner:nom_ff_n40C_1v95,34.49091776477904
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.117934
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,50.181786
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1299
design__max_fanout_violation__count,58
design__max_cap_violation__count,24
clock__skew__worst_hold,-0.3979515440926752
clock__skew__worst_setup,0.41629764702656175
timing__hold__ws,0.11424850278094222
timing__setup__ws,-4.2928364300599995
timing__hold__tns,0.0
timing__setup__tns,-406.03437139559145
timing__hold__wns,0
timing__setup__wns,-4.2928364300599995
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114248
timing__hold_r2r_vio__count,0
timing__setup_vio__count,637
timing__setup_r2r__ws,-1.998053
timing__setup_r2r_vio__count,58
design__die__bbox,0.0 0.0 1637.635 1648.355
design__core__bbox,5.52 10.88 1632.08 1637.44
design__io,264
design__die__area,2.6994E+6
design__core__area,2.6457E+6
design__instance__count__stdcell,149909
design__instance__area__stdcell,928198
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.350833
design__instance__utilization__stdcell,0.350833
design__instance__count__class:buffer,384
design__instance__count__class:inverter,4144
design__instance__count__class:sequential_cell,1092
design__instance__count__class:multi_input_combinational_cell,98240
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,201836
design__instance__count__class:tap_cell,37800
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,262
design__io__hpwl,114566623
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,3.51718E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,6972
design__instance__count__class:clock_buffer,329
design__instance__count__class:clock_inverter,140
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,196
antenna__violating__nets,124
antenna__violating__pins,135
route__antenna_violation__count,124
antenna_diodes_count,808
design__instance__count__class:antenna_cell,808
route__net,111237
route__net__special,2
route__drc_errors__iter:1,51833
route__wirelength__iter:1,3910846
route__drc_errors__iter:2,24442
route__wirelength__iter:2,3884280
route__drc_errors__iter:3,23323
route__wirelength__iter:3,3877950
route__drc_errors__iter:4,2055
route__wirelength__iter:4,3873922
route__drc_errors__iter:5,31
route__wirelength__iter:5,3873590
route__drc_errors__iter:6,9
route__wirelength__iter:6,3873586
route__drc_errors__iter:7,9
route__wirelength__iter:7,3873586
route__drc_errors__iter:8,9
route__wirelength__iter:8,3873586
route__drc_errors__iter:9,5
route__wirelength__iter:9,3873585
route__drc_errors__iter:10,3
route__wirelength__iter:10,3873590
route__drc_errors__iter:11,3
route__wirelength__iter:11,3873590
route__drc_errors__iter:12,0
route__wirelength__iter:12,3873588
route__drc_errors,0
route__wirelength,3873588
route__vias,826550
route__vias__singlecut,826550
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1799.61
timing__unannotated_net__count__corner:nom_tt_025C_1v80,8197
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,8197
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,8197
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,3
design__max_fanout_violation__count__corner:min_tt_025C_1v80,58
design__max_cap_violation__count__corner:min_tt_025C_1v80,17
