VT     WIDTH    AREA(um2)    DELAY(ps)        GHz
elvt   w31         448.71       658.71       1.52
ulvt   w31         448.76       691.72       1.45
lvt    w31         448.71       723.15       1.38
svt    w31         448.72       885.73       1.13
hvt    w31         448.70      1216.68       0.82
elvt   w13         448.71       858.48       1.16
ulvt   w13         448.71       908.27       1.10
lvt    w13         448.72       955.46       1.05
svt    w13         448.72      1193.81       0.84
hvt    w13         448.71      1684.32       0.59
